codigo_cliente,razon_social,ruc,ciudad,telefono,email,limite_credito,estado
CLI00011,Corporación La Colina,20500010674,Tarapoto,0933689519,corporación11@correo.pe,25000,ACTIVO
CLI00085,Mayorista Río Verde,20500082454,Iquitos,964773101,mayorista85@correo.pe,10000,ACTIVO
CLI90002,Importadora Buen Precio S.A.C.,20500014556,Tacna,0996169478,importadora15@correo.pe,10000,ACTIVO
CLI00113,Negocios Villa Norte S.A.,20500109611,Lima,933449924,negocios113@correo.pe,5000,ACTIVO
CLI00524,Market Alto Andino S.A.,20500508281,Tarapoto,973285047,market524@correo.pe,25000,ACTIVO
CLI90005,Comercial Los Cedros S.A.C.,20500034921,Huancayo,+51 914231875,comercial36@correo.pe,3000,ACTIVO
CLI00052,Minimarket San Isidro,20500050447,Chiclayo,+51 975375365,minimarket52@correo.pe,3000,ACTIVO
CLI00438,Comercial San Martín S.A.C.,20500424860,Huancayo,0965275654,comercial438@correo.pe,10000,ACTIVO
CLI00286,Corporación El Trigal E.I.R.L.,20500277425,Chiclayo,943108364,corporación286@correo.pe,10000,ACTIVO
CLI00058,Abarrotes Vista Alegre,20500056267,Arequipa,+51 919044466,abarrotes58@correo.pe,3000,ACTIVO
CLI00572,Comercial Nueva Esperanza E.I.R.L.,20500554844,Arequipa,+51 914494073,comercial572@correo.pe,3000,ACTIVO
CLI90011,Bodega Alto Andino S.A.C.,20500075661,Arequipa,+51 944289631,bodega78@correo.pe,5000,ACTIVO
CLI00207,Negocios El Trigal,20500200791,Arequipa,0906209252,negocios207@correo.pe,5000,ACTIVO
CLI00281,Minimarket Casa Grande E.I.R.L.,20500272571,Arequipa,0979405108,minimarket281@correo.pe,1500,ACTIVO
CLI00439,Supermercados Los Andes S.A.C.,20500425831,Ayacucho,954950276,supermercados439@correo.pe,0,ACTIVO
CLI00353,Inversiones Campo Alegre E.I.R.L.,20500342413,Trujillo,949615576,inversiones353@correo.pe,3000,ACTIVO
CLI00258,Inversiones Vista Alegre S.R.L.,20500250268,Juliaca,969740974,inversiones258@correo.pe,3000,ACTIVO
CLI00198,Inversiones Los Andes,20500192063,Puno,+51 963406082,inversiones198@correo.pe,S/ 25.000,ACTIVO
CLI00369,Comercial San Isidro,20500357933,Chiclayo,953541106,comercial369@correo.pe,3000,ACTIVO
CLI00017,Corporación Casa Grande S.A.C.,20500016494,Cusco,0955205206,corporación17@correo.pe,0,INACTIVO
CLI00486,Corporación Alto Andino S.R.L.,20500471426,Ica,910274068,corporación486@correo.pe,3000,ACTIVO
CLI00324,Autoservicio Las Palmeras S.A.C.,20500314282,Ayacucho,948243077,autoservicio324@correo.pe,3000,ACTIVO
CLI00379,Supermercados La Colina S.A.,20500367637,,+51 929243222,supermercados379@correo.pe,5000,ACTIVO
CLI00142,Minimarket Campo Alegre S.R.L.,20500137747,Ica,0952963167,minimarket142@correo.pe,10000,ACTIVO
CLI00290,Tiendas El Trigal S.R.L.,20500281309,,+51 903752892,tiendas290@correo.pe,3000,ACTIVO
CLI00404,Supermercados Puerto Nuevo E.I.R.L.,20500391881,Arequipa,0959960163,supermercados404@correo.pe,0,ACTIVO
CLI00249,Abarrotes Las Palmeras,20500241536,Lima,+51 943591243,abarrotes249@correo.pe,0,ACTIVO
CLI00507,Distribuidora Buen Precio S.R.L.,20500491796,Cajamarca,+51 935096289,distribuidora507@correo.pe,1500,ACTIVO
CLI00493,Bodega Los Cedros E.I.R.L.,20500478218,Ayacucho,0991786162,bodega493@correo.pe,10000,ACTIVO
CLI00562,Bodega Puerto Nuevo S.A.C.,20500545144,Cajamarca,+51 945954332,bodega562@correo.pe,10000,ACTIVO
CLI00437,Importadora Santa Rosa S.A.C.,20500423898,Puno,948506590,importadora437@correo.pe,0,ACTIVO
CLI00448,Negocios El Trigal S.A.C.,20500434563,Cajamarca,996847966,negocios448@correo.pe,0,ACTIVO
CLI00397,Tiendas Vista Alegre S.A.,20500385091,Cajamarca,0946366921,tiendas397@correo.pe,0,ACTIVO
CLI00124,Corporación Los Cedros S.A.C.,20500120283,Tarapoto,0997671227,corporación124@correo.pe,10000,ACTIVO
CLI00597,Autoservicio El Trigal S.A.C.,20500579090,Iquitos,0954383965,autoservicio597@correo.pe,0,ACTIVO
CLI00522,Market Sol de Oro E.I.R.L.,20500506343,Lima,937723489,market522@correo.pe,10000,INACTIVO
CLI00222,Corporación La Merced S.R.L.,20500215349,Tarapoto,923929086,corporación222@correo.pe,1500,ACTIVO
CLI00108,Market Los Andes S.A.C.,20500104768,Iquitos,975749525,,25000,ACTIVO
CLI00030,Comercial San Isidro S.R.L.,20500029103,Trujillo,923447159,comercial30@correo.pe,5000,ACTIVO
CLI00181,Distribuidora El Trigal S.A.C.,20500175576,Cajamarca,+51 957680307,distribuidora181@correo.pe,25000,ACTIVO
CLI00489,Bodega Vista Alegre E.I.R.L.,20500474336,Tarapoto,983664187,bodega489@correo.pe,0,INACTIVO
CLI00527,Autoservicio Campo Alegre,20500511193,Huancayo,+51 936428723,,25000,ACTIVO
CLI00451,Distribuidora Los Andes E.I.R.L.,20500437473,Ica,953652104,distribuidora451@correo.pe,1500,INACTIVO
CLI00331,Market Vista Alegre,20500321076,Cusco,0998708487,market331@correo.pe,1500,INACTIVO
CLI00508,Distribuidora Puerto Nuevo E.I.R.L.,20500492768,Tarapoto,911882204,,0,ACTIVO
CLI00431,Almacenes Santa Rosa E.I.R.L.,20500418070,Juliaca,0918637545,almacenes431@correo.pe,0,INACTIVO
CLI00054,Bodega Vista Alegre,20500052385,Huancayo,+51 965076364,bodega54@correo.pe,3000,ACTIVO
CLI00374,Inversiones La Colina S.A.,20500362783,Piura,960268040,inversiones374@correo.pe,10000,ACTIVO
CLI00218,Tiendas La Colina S.A.,20500211467,Ayacucho,0993203221,tiendas218@correo.pe,5000,ACTIVO
CLI00441,Inversiones San Isidro,20500427770,Piura,947025573,inversiones441@correo.pe,25000,ACTIVO
CLI00513,Bodega Sol de Oro E.I.R.L.,20500497611,Chiclayo,940194980,,1500,INACTIVO
CLI00073,Abarrotes La Colina,20500070815,Juliaca,0989607543,abarrotes73@correo.pe,10000,ACTIVO
CLI00299,Minimarket San Martín,20500290031,Ica,0983750247,minimarket299@correo.pe,S/ 25.000,INACTIVO
CLI00105,Inversiones Alto Andino S.R.L.,20500101858,Cajamarca,991540404,,5000,ACTIVO
CLI00262,Importadora Sol de Oro S.R.L.,20500254140,Puno,948922860,importadora262@correo.pe,0,ACTIVO
CLI00300,Market Campo Alegre S.R.L.,20500291002,Cusco,+51 940108465,market300@correo.pe,5000,ACTIVO
CLI00373,Comercial Buen Precio S.R.L.,20500361817,Tacna,+51 952181545,,5000,ACTIVO
CLI00059,Supermercados Los Andes,20500057239,Puno,0925471405,supermercados59@correo.pe,3000,ACTIVO
CLI00126,Comercial Nueva Esperanza S.A.C.,20500122227,Lima,951786198,comercial126@correo.pe,5000,ACTIVO
CLI00023,Autoservicio Sol de Oro S.A.C.,20500022311,Huancayo,+51 906895485,autoservicio23@correo.pe,25000,ACTIVO
CLI00129,Market Río Verde E.I.R.L.,20500125137,Juliaca,993071644,market129@correo.pe,3000,ACTIVO
CLI00375,Autoservicio Río Verde,20500363755,Ica,+51 962574936,autoservicio375@correo.pe,25000,ACTIVO
CLI00328,Market San Martín S.A.,20500318164,Trujillo,+51 982821969,,3000,ACTIVO
CLI00061,Autoservicio Casa Grande,20500059177,Trujillo,0969281900,,3000,ACTIVO
CLI00558,Inversiones Nueva Esperanza S.A.,20500541262,Tacna,967312202,inversiones558@correo.pe,0,ACTIVO
CLI00223,Comercial El Progreso S.A.,20500216311,Tacna,+51 968610191,comercial223@correo.pe,1500,ACTIVO
CLI00231,Autoservicio Río Verde E.I.R.L.,20500224071,Tarapoto,978084305,autoservicio231@correo.pe,3000,ACTIVO
CLI00537,Corporación Nueva Esperanza,20500520893,Cajamarca,+51 976339224,corporación537@correo.pe,1500,ACTIVO
CLI00092,  ALMACENES LOS ANDES S.R.L.  ,20500089246,Cajamarca,924023137,almacenes92@correo.pe,10000,ACTIVO
CLI00187,Bodega Santa Rosa E.I.R.L.,20500181398,Chiclayo,908668427,bodega187@correo.pe,10000,INACTIVO
CLI00163,Tiendas Vista Alegre,20500158116,Huancayo,904570558,tiendas163@correo.pe,3000,ACTIVO
CLI00544,Minimarket Alto Andino,20500527685,Piura,928131517,,0,ACTIVO
CLI00185,Tiendas San Martín,20500179458,Cusco,974924966,tiendas185@correo.pe,1500,ACTIVO
CLI00271,Comercial La Merced S.A.C.,20500262878,Lima,0969474561,comercial271@correo.pe,5000,ACTIVO
CLI00065,Comercial Casa Grande S.A.,20500063051,Tarapoto,916232107,comercial65@correo.pe,1500,ACTIVO
CLI00325,Bodega Las Palmeras S.A.,20500315254,Lima,0973310657,bodega325@correo.pe,10000,ACTIVO
CLI00488,Almacenes El Progreso,20500473364,Chiclayo,+51 981177585,almacenes488@correo.pe,10000,ACTIVO
CLI00367,Mayorista La Merced S.A.,20500355990,Trujillo,911959510,mayorista367@correo.pe,25000,INACTIVO
CLI00101,Importadora Campo Alegre,20-500097974,Trujillo,+51 923101803,importadora101@correo.pe,5000,ACTIVO
CLI00132,Supermercados Nueva Esperanza S.A.C.,20500128047,Huancayo,+51 940767216,supermercados132@correo.pe,10000,ACTIVO
CLI00474,Bodega Los Cedros,20500459787,Lima,944965104,,1500,ACTIVO
CLI00434,Comercial Sol de Oro,20500420988,Juliaca,+51 995992870,comercial434@correo.pe,5000,ACTIVO
CLI00476,Bodega San Isidro E.I.R.L.,20500461722,Piura,939020786,bodega476@correo.pe,1500,ACTIVO
CLI00156,Bodega El Progreso S.A.,20500151324,Tacna,+51 973920258,bodega156@correo.pe,5000,ACTIVO
CLI00273,Almacenes El Progreso E.I.R.L.,20500264811,Juliaca,+51 966201502,,0,ACTIVO
CLI00337,Almacenes Alto Andino S.A.,20500326892,Tacna,+51 930382713,almacenes337@correo.pe,5000,ACTIVO
CLI00604,Abarrotes Casa Grande E.I.R.L.,20500585880,Chiclayo,0927043789,abarrotes604@correo.pe,1500,ACTIVO
CLI00579,Minimarket Casa Grande S.A.C.,20500561638,Arequipa,0962922123,minimarket579@correo.pe,1500,ACTIVO
CLI00484,Almacenes Santa Rosa S.R.L.,20500469481,Puno,994323687,,1500,ACTIVO
CLI00177,Negocios Alto Andino,20500171694,Lima,954888845,negocios177@correo.pe,10000,ACTIVO
CLI00041,Inversiones San Isidro S.R.L.,20500039770,Puno,+51 979733040,inversiones41@correo.pe,25000,ACTIVO
CLI00371,Inversiones Río Verde,20500359871,Chiclayo,0977337894,inversiones371@correo.pe,10000,ACTIVO
CLI00577,Importadora Nueva Esperanza S.A.,20500559692,Lima,901451132,,5000,ACTIVO
CLI00473,Tiendas La Merced S.R.L.,20500458811,Puno,936492367,tiendas473@correo.pe,25000,INACTIVO
CLI00144,Importadora Buen Precio E.I.R.L.,20500139685,Trujillo,0940537059,,10000,ACTIVO
CLI00091,Market Alto Andino,20500088274,Trujillo,0919324407,market91@correo.pe,25000,ACTIVO
CLI00233,Supermercados Nueva Esperanza,20500226014,Huancayo,920327749,supermercados233@correo.pe,1500,ACTIVO
CLI00419,Corporación San Martín E.I.R.L.,20500406438,Tarapoto,+51 966681114,corporación419@correo.pe,1500,ACTIVO
CLI00119,Almacenes La Merced S.A.C.,20500115433,Cajamarca,953810144,almacenes119@correo.pe,1500,ACTIVO
CLI00084,Supermercados Río Verde,20500081482,Huancayo,929298954,supermercados84@correo.pe,5000,ACTIVO
CLI00520,Supermercados Los Andes E.I.R.L.,20500504405,Cajamarca,963668281,,25000,ACTIVO
CLI00037,Minimarket La Merced,20-500035898,Chiclayo,978934594,minimarket37@correo.pe,3000,ACTIVO
CLI00570,Mayorista La Colina E.I.R.L.,20500552906,Chiclayo,+51 914330054,mayorista570@correo.pe,0,ACTIVO
CLI90009,Importadora La Colina S.A.C.,20500062089,Juliaca,0909815488,importadora64@correo.pe,10000,ACTIVO
CLI00150,Mayorista Sol de Oro S.A.C.,20500145505,Cusco,+51 923464099,mayorista150@correo.pe,5000,ACTIVO
CLI00427,Importadora Buen Precio S.A.,20500414198,Arequipa,+51 957103861,importadora427@correo.pe,1500,ACTIVO
CLI00335,Corporación San Martín S.R.L.,20500324954,,+51 918550822,corporación335@correo.pe,1500,ACTIVO
CLI00387,Almacenes Vista Alegre S.A.,20500375397,Ica,+51 950187439,almacenes387@correo.pe,3000,ACTIVO
CLI00063,Comercial Casa Grande S.R.L.,20500061112,Cusco,0920699871,comercial63@correo.pe,1500,INACTIVO
CLI00146,Abarrotes Los Andes,20500141621,Piura,0904853558,abarrotes146@correo.pe,10000,ACTIVO
CLI00456,Mayorista Santa Rosa S.A.,20500442329,Puno,+51 901752982,,1500,ACTIVO
CLI00361,Almacenes La Merced,20500350173,Cajamarca,0974428120,almacenes361@correo.pe,25000,ACTIVO
CLI00056,Mayorista Los Cedros E.I.R.L.,20500054329,Ayacucho,0913522643,mayorista56@correo.pe,0,ACTIVO
CLI00589,Autoservicio Nueva Esperanza S.R.L.,20500571331,Tarapoto,938263240,autoservicio589@correo.pe,3000,ACTIVO
CLI00111,Almacenes Campo Alegre,20500107678,Arequipa,0944951322,almacenes111@correo.pe,3000,ACTIVO
CLI00031,Negocios Las Palmeras S.R.L.,20500030071,Tacna,+51 943726695,negocios31@correo.pe,5000,INACTIVO
CLI00425,Abarrotes Nueva Esperanza,20500412250,Trujillo,0917691817,abarrotes425@correo.pe,0,ACTIVO
CLI00287,Comercial La Colina,20500278391,Huancayo,+51 939825725,comercial287@correo.pe,5000,ACTIVO
CLI90001,Autoservicio Río Verde S.R.L.,20500007762,Juliaca,975698815,autoservicio8@correo.pe,5000,ACTIVO
CLI00192,Tiendas Sol de Oro S.A.C.,20500186241,Chiclayo,+51 903721571,tiendas192@correo.pe,3000,INACTIVO
CLI00182,Market El Progreso E.I.R.L.,20500176548,Chiclayo,+51 992573339,market182@correo.pe,0,ACTIVO
CLI00038,Minimarket Los Cedros S.R.L.,20500036860,Arequipa,+51 955249698,minimarket38@correo.pe,3000,ACTIVO
CLI00428,Comercial Santa Rosa,20500415160,Ica,0913396879,comercial428@correo.pe,25000,ACTIVO
CLI00528,Comercial Los Cedros,20500512165,Huancayo,0911439774,comercial528@correo.pe,1500,ACTIVO
CLI00043,Mayorista Las Palmeras S.A.C.,20500041715,Piura,0944365408,mayorista43@correo.pe,0,ACTIVO
CLI00392,Market La Colina E.I.R.L.,20500380242,Arequipa,936545625,market392@correo.pe,0,ACTIVO
CLI00546,Minimarket La Colina S.A.C.,20500529629,Arequipa,+51 965892521,minimarket546@correo.pe,25000,ACTIVO
CLI00541,Supermercados Puerto Nuevo,20500524775,Ayacucho,0946383340,,1500,ACTIVO
CLI00370,Almacenes El Progreso S.A.,20500358905,Lima,975442780,almacenes370@correo.pe,25000,INACTIVO
CLI00603,Abarrotes Alto Andino,20500584913,Cusco,0942087792,abarrotes603@correo.pe,0,ACTIVO
CLI00267,Negocios El Progreso S.A.,20500258994,Huancayo,0900553951,negocios267@correo.pe,5000,ACTIVO
CLI00348,Negocios Río Verde E.I.R.L.,20500337568,Lima,+51 984274469,,0,ACTIVO
CLI00154,Almacenes Villa Norte,20500149389,Trujillo,984200104,almacenes154@correo.pe,25000,INACTIVO
CLI00257,Inversiones Alto Andino S.A.,20500249294,Tacna,906186663,inversiones257@correo.pe,0,ACTIVO
CLI00240,Bodega La Colina,20500232804,Juliaca,+51 962783925,bodega240@correo.pe,0,ACTIVO
CLI00420,Tiendas La Colina,20500407400,Tarapoto,+51 904889937,tiendas420@correo.pe,3000,ACTIVO
CLI00535,Bodega San Isidro S.R.L.,20500518953,Trujillo,0964279667,,5000,ACTIVO
CLI00347,Negocios San Isidro S.R.L.,20500336596,Ayacucho,0940909896,negocios347@correo.pe,3000,ACTIVO
CLI00200,Bodega Buen Precio,20500194007,Lima,+51 905153679,bodega200@correo.pe,10000,ACTIVO
CLI00026,Market Villa Norte S.A.,20500025221,Puno,+51 991066500,market26@correo.pe,10000,ACTIVO
CLI00081,Autoservicio Los Andes E.I.R.L.,20500078571,Iquitos,0968910905,autoservicio81@correo.pe,5000,ACTIVO
CLI00020,Market La Colina,20500019400,Ayacucho,+51 973256520,market20@correo.pe,10000,INACTIVO
CLI00244,Market Villa Norte E.I.R.L.,20500236681,Piura,+51 916973902,market244@correo.pe,5000,ACTIVO
CLI00238,Importadora La Merced S.A.,20500230861,Tarapoto,0907321996,importadora238@correo.pe,1500,ACTIVO
CLI00032,Almacenes Río Verde S.R.L.,20500031043,Juliaca,+51 928767018,almacenes32@correo.pe,0,ACTIVO
CLI00004,Importadora Santa Rosa S.A.,20500003884,Piura,947866880,importadora4@correo.pe,25000,ACTIVO
CLI00506,Comercial Sol de Oro S.A.C.,20500490820,Chiclayo,0919875131,comercial506@correo.pe,3000,ACTIVO
CLI00239,Abarrotes El Progreso S.R.L.,20500231832,Juliaca,+51 951553073,abarrotes239@correo.pe,25000,ACTIVO
CLI00349,Autoservicio Villa Norte S.R.L.,20500338530,Chiclayo,923968981,autoservicio349@correo.pe,1500,ACTIVO
CLI00217,Bodega Nueva Esperanza S.A.C.,20500210495,Chiclayo,904413016,bodega217@correo.pe,3000,ACTIVO
CLI00083,Distribuidora La Colina E.I.R.L.,20500080516,Lima,949148845,distribuidora83@correo.pe,5000,ACTIVO
CLI00444,Bodega Los Cedros S.A.C.,20500430681,Puno,0929481722,bodega444@correo.pe,10000,ACTIVO
CLI00243,Distribuidora Sol de Oro E.I.R.L.,20500235714,Trujillo,+51 972973542,distribuidora243@correo.pe,25000,ACTIVO
CLI00131,Abarrotes Puerto Nuevo S.R.L.,20500127075,Iquitos,911169771,abarrotes131@correo.pe,10000,INACTIVO
CLI00157,Minimarket San Martín S.A.C.,20500152291,Ica,956779946,minimarket157@correo.pe,0,ACTIVO
CLI00051,Negocios Sol de Oro,20500049473,Cusco,907824479,negocios51@correo.pe,25000,ACTIVO
CLI00339,Minimarket El Trigal E.I.R.L.,20500328836,Juliaca,+51 940239819,minimarket339@correo.pe,1500,ACTIVO
CLI00025,Comercial La Colina S.A.,20500024250,Puno,0922915476,comercial25@correo.pe,10000,ACTIVO
CLI00329,Distribuidora Villa Norte,20500319136,Lima,965987525,distribuidora329@correo.pe,3000,ACTIVO
CLI00134,Minimarket Buen Precio,20500129981,Arequipa,+51 989185815,minimarket134@correo.pe,1500,ACTIVO
CLI00521,Tiendas Los Cedros S.A.C.,20500505371,Ica,969555171,tiendas521@correo.pe,3000,ACTIVO
CLI00322,Market Puerto Nuevo,20500312344,Huancayo,0916114347,market322@correo.pe,5000,ACTIVO
CLI00015,Importadora Buen Precio S.A.C.,20500014556,Tacna,0996169478,importadora15@correo.pe,10000,ACTIVO
CLI00268,Autoservicio Casa Grande S.A.C.,20500259966,Huancayo,0940540066,autoservicio268@correo.pe,5000,ACTIVO
CLI00170,Supermercados La Colina S.A.C.,20-500164906,Chiclayo,962542393,,0,ACTIVO
CLI00536,Importadora Los Cedros S.A.C.,20500519925,Iquitos,+51 982072114,importadora536@correo.pe,3000,ACTIVO
CLI00214,Almacenes Alto Andino,20500207583,Lima,0975046521,,0,ACTIVO
CLI00215,Mayorista Los Andes,20500208555,Chiclayo,0917591590,,5000,INACTIVO
CLI00384,Comercial Casa Grande E.I.R.L.,20500372487,Trujillo,+51 955713229,comercial384@correo.pe,5000,INACTIVO
CLI00455,Bodega Los Andes S.A.,20500441357,Lima,0901623032,bodega455@correo.pe,25000,INACTIVO
CLI00009,Almacenes Sol de Oro,20500008734,Cusco,+51 906561596,almacenes9@correo.pe,10000,ACTIVO
CLI00078,Bodega Alto Andino S.A.C.,20500075661,Arequipa,+51 944289631,bodega78@correo.pe,5000,ACTIVO
CLI90010,Tiendas Los Cedros E.I.R.L.,20500068877,Chiclayo,+51 975336401,tiendas71@correo.pe,3000,ACTIVO
CLI00601,Importadora San Martín S.A.C.,20500582970,Iquitos,0918094276,importadora601@correo.pe,1500,ACTIVO
CLI00389,Negocios Los Andes S.A.C.,20500377331,Arequipa,+51 907937558,negocios389@correo.pe,1500,ACTIVO
CLI00006,Mayorista Puerto Nuevo S.R.L.,20-500005824,Lima,0949505484,mayorista6@correo.pe,5000,INACTIVO
CLI00296,Supermercados Los Cedros S.R.L.,20500287129,Huancayo,+51 949199240,,3000,ACTIVO
CLI00220,Distribuidora Nueva Esperanza,20500213401,Cusco,+51 906681913,distribuidora220@correo.pe,0,ACTIVO
CLI00487,Market La Merced,20500472392,Iquitos,965625113,market487@correo.pe,3000,ACTIVO
CLI00130,Tiendas La Merced E.I.R.L.,20500126109,Lima,912024518,tiendas130@correo.pe,5000,ACTIVO
CLI00053,Importadora Casa Grande S.A.,20500051419,Ica,973658086,importadora53@correo.pe,25000,ACTIVO
